File,LongAxis,ShortAxis,Dis,index
Mean,594.4002136,550.1087664,6.667864875,1
Mean,556.5249091,503.5715213,6.090202736,2
,,,,
Mean,580.1588542,523.020223,6.488144175,4
Mean,590.896585,544.492444,6.576826653,5
Mean,542.9591263,507.5395538,6.234784815,6
Mean,540.0501137,503.1980286,6.005894835,7
Mean,521.5341003,471.5503723,5.719713315,8
Mean,611.401767,541.972995,6.566968713,9
Mean,555.9205819,505.1100428,6.099265995,10
