time_stamp,DIO1,DIO2,DIO3,DIO4,DIO5,DIO6,DIO7,DIO8
20241217_200651,0,0,0,0,0,0,0,0
20241217_200652,0,0,0,0,0,0,0,0
20241217_200652,0,0,0,0,0,0,0,0
20241217_200652,0,0,0,0,0,0,0,0
20241217_200652,0,0,0,0,0,0,0,0
20241217_200652,0,0,0,0,0,0,0,0
20241217_200653,0,0,0,0,0,0,0,0
20241217_200653,0,0,0,0,0,0,0,0
20241217_200653,0,0,0,0,0,0,0,0
20241217_200653,0,0,0,0,0,0,0,0
20241217_200653,0,0,0,0,0,0,0,0
20241217_200654,0,0,0,0,0,0,0,0
20241217_200654,0,0,0,0,0,0,0,0
20241217_200654,0,0,0,0,0,0,0,0
20241217_200654,0,0,0,0,0,0,0,0
20241217_200654,0,0,0,0,0,0,0,0
20241217_200655,0,0,0,0,0,0,0,0
20241217_200655,0,0,0,0,0,0,0,0
20241217_200655,0,0,0,0,0,0,0,0
20241217_200655,0,0,0,0,0,0,0,0
20241217_200655,0,0,0,0,0,0,0,0
20241217_200656,0,0,0,0,0,0,0,0
20241217_200656,0,0,0,0,0,0,0,0
20241217_200656,0,0,0,0,0,0,0,0
20241217_200656,1,0,0,0,0,0,0,0
20241217_200656,1,0,0,0,0,0,0,0
20241217_200657,1,0,0,0,0,0,0,0
20241217_200657,1,0,0,0,0,0,0,0
20241217_200657,1,0,0,0,0,0,0,0
20241217_200657,1,0,0,0,0,0,0,0
20241217_200657,1,0,0,0,0,0,0,0
20241217_200658,1,0,0,0,0,0,0,0
20241217_200658,1,0,0,0,0,0,0,0
20241217_200658,1,0,0,0,0,0,0,0
20241217_200658,1,0,0,0,0,0,0,0
20241217_200658,1,0,0,0,0,0,0,0
20241217_200659,1,0,0,0,0,0,0,0
20241217_200659,1,0,0,0,0,0,0,0
20241217_200659,1,0,0,0,0,0,0,0
20241217_200659,1,0,0,0,0,0,0,0
20241217_200659,1,0,0,0,0,0,0,0
20241217_200700,1,0,0,0,0,0,0,0
20241217_200700,1,0,0,0,0,0,0,0
20241217_200700,1,0,0,0,0,0,0,0
20241217_200700,1,0,0,0,0,0,0,0
20241217_200700,1,0,0,0,0,0,0,0
20241217_200701,1,0,0,0,0,0,0,0
20241217_200701,1,0,0,0,0,0,0,0
20241217_200701,1,0,0,0,0,0,0,0
20241217_200701,1,0,0,0,0,0,0,0
20241217_200701,1,0,0,0,0,0,0,0
20241217_200702,1,0,0,0,0,0,0,0
20241217_200702,1,0,0,0,0,0,0,0
20241217_200702,1,0,0,0,0,0,0,0
20241217_200702,1,0,0,0,0,0,0,0
20241217_200702,1,0,0,0,0,0,0,0
20241217_200703,1,0,0,0,0,0,0,0
20241217_200703,1,0,0,0,0,0,0,0
20241217_200703,1,0,0,0,0,0,0,0
20241217_200703,1,0,0,0,0,0,0,0
20241217_200703,1,0,0,0,0,0,0,0
20241217_200704,1,0,0,0,0,0,0,0
20241217_200704,1,0,0,0,0,0,0,0
20241217_200704,1,0,0,0,0,0,0,0
20241217_200704,1,0,0,0,0,0,0,0
20241217_200704,1,0,0,0,0,0,0,0
20241217_200705,1,0,0,0,0,0,0,0
20241217_200705,1,0,0,0,0,0,0,0
20241217_200705,1,0,0,0,0,0,0,0
20241217_200705,1,0,0,0,0,0,0,0
20241217_200705,1,0,0,0,0,0,0,0
20241217_200706,1,0,0,0,0,0,0,0
20241217_200706,1,0,0,0,0,0,0,0
20241217_200706,1,0,0,0,0,0,0,0
20241217_200706,1,0,0,0,0,0,0,0
20241217_200706,1,0,0,0,0,0,0,0
20241217_200707,1,0,0,0,0,0,0,0
20241217_200707,1,0,0,0,0,0,0,0
20241217_200707,1,0,0,0,0,0,0,0
20241217_200707,1,0,0,0,0,0,0,0
20241217_200707,1,0,0,0,0,0,0,0
20241217_200708,1,0,0,0,0,0,0,0
20241217_200708,1,0,0,0,0,0,0,0
20241217_200708,1,0,0,0,0,0,0,0
20241217_200708,1,0,0,0,0,0,0,0
20241217_200708,1,0,0,0,0,0,0,0
20241217_200709,1,0,0,0,0,0,0,0
20241217_200709,1,0,0,0,0,0,0,0
20241217_200709,1,0,0,0,0,0,0,0
20241217_200709,1,0,0,0,0,0,0,0
20241217_200710,1,0,0,0,0,0,0,0
20241217_200710,1,0,0,0,0,0,0,0
20241217_200710,1,0,0,0,0,0,0,0
20241217_200710,1,0,0,0,0,0,0,0
20241217_200710,1,0,0,0,0,0,0,0
20241217_200711,1,0,0,0,0,0,0,0
20241217_200711,1,0,0,0,0,0,0,0
20241217_200711,1,0,0,0,0,0,0,0
20241217_200711,1,0,0,0,0,0,0,0
20241217_200711,1,0,0,0,0,0,0,0
20241217_200712,1,0,0,0,0,0,0,0
20241217_200712,1,0,0,0,0,0,0,0
20241217_200712,1,0,0,0,0,0,0,0
20241217_200712,1,0,0,0,0,0,0,0
20241217_200712,1,0,0,0,0,0,0,0
20241217_200713,1,0,0,0,0,0,0,0
20241217_200713,1,0,0,0,0,0,0,0
20241217_200713,1,0,0,0,0,0,0,0
20241217_200713,1,0,0,0,0,0,0,0
20241217_200713,1,0,0,0,0,0,0,0
20241217_200714,1,0,0,0,0,0,0,0
20241217_200714,1,0,0,0,0,0,0,0
20241217_200714,1,0,0,0,0,0,0,0
20241217_200714,1,0,0,0,0,0,0,0
20241217_200714,1,0,0,0,0,0,0,0
20241217_200715,1,0,0,0,0,0,0,0
20241217_200715,1,0,0,0,0,0,0,0
20241217_200715,1,0,0,0,0,0,0,0
20241217_200715,1,0,0,0,0,0,0,0
20241217_200715,1,0,0,0,0,0,0,0
20241217_200716,1,0,0,0,0,0,0,0
20241217_200716,1,0,0,0,0,0,0,0
20241217_200716,1,0,0,0,0,0,0,0
20241217_200716,1,0,0,0,0,0,0,0
20241217_200716,1,0,0,0,0,0,0,0
20241217_200717,1,0,0,0,0,0,0,0
20241217_200717,1,0,0,0,0,0,0,0
20241217_200717,1,0,0,0,0,0,0,0
20241217_200717,1,0,0,0,0,0,0,0
20241217_200717,1,0,0,0,0,0,0,0
20241217_200718,1,0,0,0,0,0,0,0
20241217_200718,1,0,0,0,0,0,0,0
20241217_200718,1,0,0,0,0,0,0,0
20241217_200718,1,0,0,0,0,0,0,0
20241217_200718,1,0,0,0,0,0,0,0
20241217_200719,1,0,0,0,0,0,0,0
